SUB_TYPE,SUB_TYPE_DESC,DATA_STATUS,DATA_STATUS_DISPLAY,STATUS_CLASS,ADDRESS,URL,LAST_UPDATED,LATITUDE,LONGITUDE,NEIGHBORHOOD
YEAR-4  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,1126 SETON AV                        ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600685,09/28/2017 12:00:00 AM +0000,39.11262789,-84.57609265,EAST PRICE HILL
YEAR-4  ,VFPR Second Year Registration,RENEWAL ,Renewal of Previous Year Registration,,4822 MORSE ST                        ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600339,09/08/2017 12:00:00 AM +0000,39.12215505,-84.41482354,LINWOOD
YEAR-4  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,3818 HERRON AV                       ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700304,08/30/2017 12:00:00 AM +0000,39.15652366,-84.55293321,SOUTH CUMMINSVILLE
YEAR-4  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,1037 BEECH AV                        ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600165,08/31/2016 12:00:00 AM +0000,39.11125199,-84.57777586,WEST PRICE HILL
YEAR-4,VFPR Second Year Registration,CLOSE-V,Case Closed - Building Vacant,CLOS,4763 DALE AV,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700578,01/22/2018 12:00:00 AM +0000,39.11184081,-84.59829258,WEST PRICE HILL
YEAR-4,VFPR Second Year Registration,CIVIL-NM,Vacant - Not Maintained - Civil Fine Pending,OPEN,4822 MORSE ST,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700131,01/26/2018 12:00:00 AM +0000,39.12215505,-84.41482354,LINWOOD
YEAR-3  ,VFPR Second Year Registration,CIVIL-NM,Vacant - Not Maintained - Civil Fine Pending,OPEN,1079 GRAND AV                        ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700613,12/19/2017 12:00:00 AM +0000,39.11264094,-84.56074401,EAST PRICE HILL
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,805 RIDGEWAY AV                     ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700468,12/15/2017 12:00:00 AM +0000,39.13944163,-84.49087105,AVONDALE
YEAR-3  ,VFPR Second Year Registration,CIVIL-NM,Vacant - Not Maintained - Civil Fine Pending,OPEN,3077 MASSACHUSETTS AV                ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700701,12/27/2017 12:00:00 AM +0000,39.1401497,-84.53565424,CAMP WASHINGTON
YEAR-3  ,VFPR Second Year Registration,REGISTRD,Vacant - Registered Vacant,OPEN,2735 WAGNER ST                       ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700469,12/27/2017 12:00:00 AM +0000,39.13133202,-84.52698552,CUF
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,7201 SCOTTWOOD AV                    ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700488,12/01/2017 12:00:00 AM +0000,39.19335895,-84.46240041,ROSELAWN
YEAR-3  ,VFPR Second Year Registration,CLOSE-O ,Case Closed - Building Occupied,CLOS,5548 DUNNING PL                      ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600395,11/28/2017 12:00:00 AM +0000,39.1561534,-84.39781329,MADISONVILLE
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,137 WHIPPLE ST                      ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600324,11/28/2017 12:00:00 AM +0000,39.10627989,-84.68416886,SAYLER PARK
YEAR-3  ,VFPR Second Year Registration,REGISTRD,Vacant - Registered Vacant,OPEN,1723 KINNEY AV                       ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700617,11/27/2017 12:00:00 AM +0000,39.13616957,-84.47294905,EVANSTON
YEAR-3  ,VFPR Second Year Registration,VOID    ,Case Voided,CLOS,3068 HEGRY CIR                       ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700579,11/14/2017 12:00:00 AM +0000,39.13112078,-84.6037341,WESTWOOD
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,6566 DALY RD                         ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600809,11/09/2017 12:00:00 AM +0000,39.20931152,-84.5313822,COLLEGE HILL
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,1283 BRUSHWOOD AV                    ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700586,11/07/2017 12:00:00 AM +0000,39.21415298,-84.53688481,COLLEGE HILL
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,1108 ARCHLAND DR                     ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700471,11/01/2017 12:00:00 AM +0000,39.21036684,-84.53008539,COLLEGE HILL
YEAR-3  ,VFPR Second Year Registration,CLOSE-O ,Case Closed - Building Occupied,CLOS,6527 RIPPLEWOOD LN                   ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700395,10/30/2017 12:00:00 AM +0000,39.09304909,-84.37711954,MT. WASHINGTON
YEAR-3  ,Foreclosed Property,RENEWAL ,Renewal of Previous Year Registration,,2717 EDEN AV                         ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500868,10/30/2017 12:00:00 AM +0000,39.13091773,-84.50644086,CORRYVILLE
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,2450 MCMICKEN AV                     ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700585,10/12/2017 12:00:00 AM +0000,39.12704669,-84.53128002,CUF
YEAR-3  ,VFPR Second Year Registration,RENEWAL ,Renewal of Previous Year Registration,,4763 DALE AV                         ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700399,10/09/2017 12:00:00 AM +0000,39.11184081,-84.59829258,WEST PRICE HILL
YEAR-3  ,VFPR Second Year Registration,REGISTRD,Vacant - Registered Vacant,OPEN,1426 CORVALLIS AV                    ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700476,09/26/2017 12:00:00 AM +0000,39.19638957,-84.46523445,ROSELAWN
YEAR-3  ,VFPR Second Year Registration,RENEWAL ,Renewal of Previous Year Registration,,3695 ALLVIEW CIR                     ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600749,09/26/2017 12:00:00 AM +0000,39.13833685,-84.62099759,WESTWOOD
YEAR-3  ,VFPR Third Year Registration,RENEWAL ,Renewal of Previous Year Registration,,1126 SETON AV                        ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500623,09/08/2017 12:00:00 AM +0000,39.11262789,-84.57609265,EAST PRICE HILL
YEAR-3  ,VFPR Second Year Registration,RENEWAL ,Renewal of Previous Year Registration,,1073 ALBANY TER                      ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600682,09/08/2017 12:00:00 AM +0000,39.19656929,-84.53416202,COLLEGE HILL
YEAR-3  ,VFPR Third Year Registration,RENEWAL ,Renewal of Previous Year Registration,,1035 FISK AV                         ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500683,09/08/2017 12:00:00 AM +0000,39.1119501,-84.58676472,WEST PRICE HILL
YEAR-3  ,VFPR Second Year Registration,RENEWAL ,Renewal of Previous Year Registration,,3818 HERRON AV                       ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600387,09/08/2017 12:00:00 AM +0000,39.15652366,-84.55293321,SOUTH CUMMINSVILLE
YEAR-3  ,VFPR Third Year Registration,RENEWAL ,Renewal of Previous Year Registration,,1131 CHEREVILLA LN                   ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500421,09/08/2017 12:00:00 AM +0000,39.11522993,-84.60555736,WEST PRICE HILL
YEAR-3  ,VFPR Second Year Registration,RENEWAL ,Renewal of Previous Year Registration,,3768 BONFIELD DR                     ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600681,09/08/2017 12:00:00 AM +0000,39.15214205,-84.5044965,AVONDALE
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,6256 STURDY AV                       ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700388,09/06/2017 12:00:00 AM +0000,39.09685645,-84.38449884,MT. WASHINGTON
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,2002 QUEEN CITY AV                   ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700120,08/29/2017 12:00:00 AM +0000,39.12828158,-84.56644913,SOUTH FAIRMOUNT
YEAR-3  ,VFPR Second Year Registration,RENEWAL ,Renewal of Previous Year Registration,,3739 BOUDINOT AV                     ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600803,09/08/2017 12:00:00 AM +0000,39.158691,-84.60287308,WESTWOOD
YEAR-3  ,VFPR Second Year Registration,CLOSE-O ,Case Closed - Building Occupied,CLOS,2809 LAFEUILLE AV                    ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600402,07/28/2017 12:00:00 AM +0000,39.13626349,-84.59105511,WESTWOOD
YEAR-3  ,VFPR Second Year Registration,REGISTRD,Vacant - Registered Vacant,OPEN,6405 ASPEN WY                        ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700129,07/24/2017 12:00:00 AM +0000,39.20814948,-84.55216171,COLLEGE HILL
YEAR-3  ,VFPR Second Year Registration,REGISTRD,Vacant - Registered Vacant,OPEN,543 NORWAY AV                       ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700383,06/28/2017 12:00:00 AM +0000,39.15198042,-84.49507784,AVONDALE
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,1806 DALE RD                         ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700292,06/22/2017 12:00:00 AM +0000,39.17703663,-84.46246679,BOND HILL
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,3415 HARTFORD PL                     ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600619,06/16/2017 12:00:00 AM +0000,39.14161692,-84.48989933,AVONDALE
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,241 OAKMONT ST                      ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700121,06/15/2017 12:00:00 AM +0000,39.20692106,-84.4686672,HARTWELL
YEAR-3  ,VFPR Second Year Registration,REGISTRD,Vacant - Registered Vacant,OPEN,2415 HOMESTEAD PL                    ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700293,06/05/2017 12:00:00 AM +0000,39.13013099,-84.57361572,WESTWOOD
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,2754 WERKASTLE LN                    ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600611,03/30/2017 12:00:00 AM +0000,39.14143417,-84.59246794,WESTWOOD
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,3036 MCHENRY AV                      ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700004,03/20/2017 12:00:00 AM +0000,39.14179628,-84.57966957,WESTWOOD
YEAR-3  ,VFPR Second Year Registration,FORCLOSD,Occupied - Foreclosure Filed - Still Occupied,OPEN,530 CLINTON SPRINGS AV              ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700003,01/12/2017 12:00:00 AM +0000,39.15656945,-84.49428391,NORTH AVONDALE - PADDOCK HILLS
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,6322 SAVANNAH AV                     ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600807,01/11/2017 12:00:00 AM +0000,39.20737727,-84.55374177,COLLEGE HILL
YEAR-3  ,VFPR Second Year Registration,VOID    ,Case Voided,CLOS,4227 LANGLAND ST                     ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600768,11/29/2016 12:00:00 AM +0000,39.16421893,-84.53829874,NORTHSIDE
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,2105 BURNET AV                       ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600748,11/14/2016 12:00:00 AM +0000,39.1193246,-84.50299705,MT. AUBURN
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,2917 FISCHER PL                      ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600408,10/04/2016 12:00:00 AM +0000,39.14543316,-84.59443156,WESTWOOD
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,1182 CEDAR AV                        ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600616,01/11/2017 12:00:00 AM +0000,39.19828267,-84.53934358,COLLEGE HILL
YEAR-3  ,VFPR Second Year Registration,CLOSE-O ,Case Closed - Building Occupied,CLOS,1164 CHEYENNE DR                     ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600613,09/28/2016 12:00:00 AM +0000,39.18533108,-84.47827472,BOND HILL
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,5723 NAHANT AV                       ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600760,01/24/2017 12:00:00 AM +0000,39.19533086,-84.55115549,COLLEGE HILL
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,3330 CAVANAUGH AV                    ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600674,01/05/2017 12:00:00 AM +0000,39.14369749,-84.57272857,EAST WESTWOOD
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,221 KINSEY AV                       ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600759,01/17/2017 12:00:00 AM +0000,39.12506895,-84.50400687,MT. AUBURN
YEAR-3  ,VFPR Second Year Registration,CLOSE-O ,Case Closed - Building Occupied,CLOS,1232 DROTT AV                        ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600561,12/01/2016 12:00:00 AM +0000,39.1149781,-84.56845199,EAST PRICE HILL
YEAR-3  ,VFPR Third Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,6819 MERWIN AV                       ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500013,08/11/2016 12:00:00 AM +0000,39.15276802,-84.37921858,MADISONVILLE
YEAR-3  ,VFPR Third Year Registration,RENEWAL ,Renewal of Previous Year Registration,,1037 BEECH AV                        ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500011,03/15/2016 12:00:00 AM +0000,39.11125199,-84.57777586,WEST PRICE HILL
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,5529 DAVIES PL                       ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600088,09/06/2016 12:00:00 AM +0000,39.16490318,-84.39796841,MADISONVILLE
YEAR-3  ,VFPR Third Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,1166 GROESBECK RD                    ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500040,11/30/2015 11:59:41 AM +0000,39.19449919,-84.5385067,COLLEGE HILL
YEAR-3  ,VFPR Third Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,1787 TUXWORTH AV                     ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500039,05/05/2016 12:00:00 AM +0000,39.12240917,-84.5925083,WEST PRICE HILL
YEAR-3  ,VFPR Third Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,1119 WILMONT CT                      ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500020,07/27/2016 12:00:00 AM +0000,39.20128046,-84.53550206,COLLEGE HILL
YEAR-3  ,VFPR Third Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,3118 RUTH AV                         ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500402,12/28/2016 12:00:00 AM +0000,39.13987739,-84.60805884,WESTWOOD
YEAR-3  ,VFPR Third Year Registration,VOID    ,Case Voided,CLOS,4555 CRESAP AV                       ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500625,10/26/2015 10:58:17 AM +0000,39.17296232,-84.54910893,NORTHSIDE
YEAR-3  ,VFPR Third Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,4401 WATTERSON ST                    ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1400344,12/09/2014 01:40:51 PM +0000,39.1533907,-84.39192946,MADISONVILLE
YEAR-3,VFPR Second Year Registration,CIVIL-NM,Vacant - Not Maintained - Civil Fine Pending,OPEN,2612.27487684729 EARNSHAW AV                     ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700306,12/26/2017 12:00:00 AM +0000,39.15342264,-84.52854237,MT. AUBURN
YEAR-3,VFPR Second Year Registration,CLOSE-V,Case Closed - Building Vacant,CLOS,3628 EVANSTON AV,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700591,01/11/2018 12:00:00 AM +0000,39.14529561,-84.4624272,EVANSTON
YEAR-3,VFPR Second Year Registration,CLOSE-V,Case Closed - Building Vacant,CLOS,727 PURCELL AV,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700475,01/18/2018 12:00:00 AM +0000,39.10517981,-84.56501966,EAST PRICE HILL
YEAR-3,VFPR Second Year Registration,CIVIL-NR,Vacant - Not Registered - Civil Fine Pending,OPEN,2025 BALTIMORE AV,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700700,01/22/2018 12:00:00 AM +0000,39.14053942,-84.56131486,NORTH FAIRMOUNT
YEAR-3,VFPR Second Year Registration,REGISTRD,Vacant - Registered Vacant,OPEN,450 CONSIDINE AV,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700484,01/22/2018 12:00:00 AM +0000,39.09942196,-84.56386728,EAST PRICE HILL
YEAR-3,VFPR Second Year Registration,REGISTRD,Vacant - Registered Vacant,OPEN,1437 AMBROSE AV,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700699,01/22/2018 12:00:00 AM +0000,39.20054318,-84.54354243,COLLEGE HILL
YEAR-3,VFPR Second Year Registration,CLOSE-V,Case Closed - Building Vacant,CLOS,1409 BEECH AV,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700619,01/23/2018 12:00:00 AM +0000,39.11908987,-84.57702731,EAST PRICE HILL
YEAR-3,FORECLOSED PROPERTY,REGISTRD,Vacant - Registered Vacant,OPEN,2234 GRAEBE AV,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700493,01/23/2018 12:00:00 AM +0000,39.12194033,-84.56289572,EAST PRICE HILL
YEAR-3,VFPR Second Year Registration,CLOSE-V,Case Closed - Building Vacant,CLOS,4894 RAPID RUN RD,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700019,01/24/2018 12:00:00 AM +0000,39.11148469,-84.60309038,WEST PRICE HILL
YEAR-3,VFPR Second Year Registration,CLOSE-V,Case Closed - Building Vacant,CLOS,3781 ST LAWRENCE AV,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700047,01/29/2018 12:00:00 AM +0000,39.11007456,-84.57620059,EAST PRICE HILL
YEAR-3,VFPR Second Year Registration,REGISTRD,Vacant - Registered Vacant,OPEN,2717 EDEN AV,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1800008,02/02/2018 12:00:00 AM +0000,39.13091773,-84.50644086,CORRYVILLE
YEAR-3,VFPR Second Year Registration,CLOSE-V,Case Closed - Building Vacant,CLOS,2839 MORNINGRIDGE DR,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700310,02/06/2018 12:00:00 AM +0000,39.13703596,-84.58750925,WESTWOOD
YEAR-3,VFPR Second Year Registration,REGISTRD,Vacant - Registered Vacant,OPEN,5743 COLERAIN AV,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700623,02/09/2018 12:00:00 AM +0000,39.19859548,-84.5786686,MT. AIRY
YEAR-3,VFPR Second Year Registration,CIVIL-NM,Vacant - Not Maintained - Civil Fine Pending,OPEN,3821 ZINSLE AV,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700058,02/15/2018 12:00:00 AM +0000,39.18538178,-84.40652132,KENNEDY HEIGHTS
YEAR-3,VFPR Second Year Registration,CLOSE-V,Case Closed - Building Vacant,CLOS,1117 ALCLIFF LN,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700116,02/22/2018 12:00:00 AM +0000,39.11616802,-84.61542508,WEST PRICE HILL
YEAR-3,VFPR Second Year Registration,CLOSE-V,Case Closed - Building Vacant,CLOS,1953 CONNECTICUT AV,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700301,02/23/2018 12:00:00 AM +0000,39.20028826,-84.55734655,COLLEGE HILL
YEAR-3,VFPR Second Year Registration,REGISTRD,Vacant - Registered Vacant,OPEN,4205 DANE AV,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1800004,02/28/2018 12:00:00 AM +0000,39.16348317,-84.53296455,NORTHSIDE
YEAR-3,VFPR Second Year Registration,REGISTRD,Vacant - Registered Vacant,OPEN,4223 MAD ANTHONY ST,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1800017,02/28/2018 12:00:00 AM +0000,39.16398697,-84.53571317,NORTHSIDE
YEAR-2  ,VFPR Second Year Registration,CIVIL-NM,Vacant - Not Maintained - Civil Fine Pending,OPEN,343 EARNSHAW AV                     ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700306,12/26/2017 12:00:00 AM +0000,39.12057738,-84.50201736,MT. AUBURN
YEAR-2  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,1743 FAIRMOUNT AV                    ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700313,12/20/2017 12:00:00 AM +0000,39.12968941,-84.55182185,NORTH FAIRMOUNT
YEAR-2  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,750 MCMAKIN AV                      ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700393,12/19/2017 12:00:00 AM +0000,39.17255807,-84.518599,SPRING GROVE VILLAGE
YEAR-2  ,VFPR Second Year Registration,CLOSE-O ,Case Closed - Building Occupied,CLOS,1227 CAROLINA AV                     ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600205,12/19/2017 12:00:00 AM +0000,39.17522195,-84.47666349,BOND HILL
YEAR-2  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,3623 GLENWAY AV                      ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700611,12/15/2017 12:00:00 AM +0000,39.11367562,-84.57125862,EAST PRICE HILL
YEAR-2  ,VFPR Second Year Registration,CLOSE-O ,Case Closed - Building Occupied,CLOS,1021 CARSON AV                       ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700398,12/15/2017 12:00:00 AM +0000,39.1123611,-84.573046,EAST PRICE HILL
YEAR-2  ,VFPR Second Year Registration,REGISTRD,Vacant - Registered Vacant,OPEN,2431 NORTH BEND RD                   ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700635,12/14/2017 12:00:00 AM +0000,39.19401539,-84.5663215,COLLEGE HILL
YEAR-2  ,VFPR Second Year Registration,RENEWAL ,Renewal of Previous Year Registration,,3077 MASSACHUSETTS AV                ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700577,12/14/2017 12:00:00 AM +0000,39.1401497,-84.53565424,CAMP WASHINGTON
YEAR-2  ,VFPR Second Year Registration,CLOSE-O ,Case Closed - Building Occupied,CLOS,3068 HEGRY CIR                       ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700474,12/14/2017 12:00:00 AM +0000,39.13112078,-84.6037341,WESTWOOD
YEAR-2  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,6679 PARKLAND AV                     ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700397,12/14/2017 12:00:00 AM +0000,39.11462565,-84.69322412,SAYLER PARK
YEAR-2  ,VFPR Second Year Registration,RENEWAL ,Renewal of Previous Year Registration,,2025 BALTIMORE AV                    ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600629,12/14/2017 12:00:00 AM +0000,39.14053942,-84.56131486,NORTH FAIRMOUNT
YEAR-2  ,VFPR Second Year Registration,CLOSE-O ,Case Closed - Building Occupied,CLOS,6736 BRAMBLE AV                      ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700115,12/12/2017 12:00:00 AM +0000,39.15112169,-84.38133312,MADISONVILLE
YEAR-2  ,VFPR Second Year Registration,CIVIL-NM,Vacant - Not Maintained - Civil Fine Pending,OPEN,2717 EDEN AV                         ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700022,12/11/2017 12:00:00 AM +0000,39.13091773,-84.50644086,CORRYVILLE
YEAR-2  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,2755 REDFIELD PL                     ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700480,12/08/2017 12:00:00 AM +0000,39.10596532,-84.39059753,MT. WASHINGTON
YEAR-2  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,4917 OAKLAWN DR                      ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700011,12/08/2017 12:00:00 AM +0000,39.16024238,-84.41303558,MADISONVILLE
YEAR-2  ,VFPR Second Year Registration,CLOSE-O ,Case Closed - Building Occupied,CLOS,6228 DESMOND ST                      ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700009,12/08/2017 12:00:00 AM +0000,39.16242125,-84.3881687,MADISONVILLE
